frame_number,timestamp_ms,class_name,confidence,x1,y1,x2,y2
77,1771482999088,Anthracnose,0.2605,115,230,174,264
83,1771482999444,Anthracnose,0.2541,115,231,173,264
87,1771482999684,Tuberculosis,0.3030,479,270,640,480
88,1771482999744,Tuberculosis,0.3200,480,276,640,480
90,1771482999864,Anthracnose,0.2813,114,231,173,264
90,1771482999864,Tuberculosis,0.2557,486,272,640,480
91,1771482999924,Anthracnose,0.2793,115,231,173,265
92,1771482999984,Anthracnose,0.2542,114,231,173,265
93,1771483000044,Tuberculosis,0.2529,484,273,640,480
96,1771483000224,Tuberculosis,0.3012,482,271,640,480
97,1771483000280,Tuberculosis,0.3438,497,272,640,480
100,1771483000460,Tuberculosis,0.2804,479,273,640,480
101,1771483000521,Tuberculosis,0.2534,478,270,640,480
103,1771483000641,Anthracnose,0.2941,115,229,175,264
104,1771483000701,Anthracnose,0.3065,115,230,174,264
106,1771483000820,Anthracnose,0.2913,114,230,174,264
107,1771483000880,Tuberculosis,0.3094,498,271,640,480
108,1771483000940,Tuberculosis,0.3628,492,271,640,480
109,1771483001000,Tuberculosis,0.3324,481,272,640,480
110,1771483001060,Tuberculosis,0.2983,490,275,639,480
110,1771483001060,BlackScale,0.2731,174,89,360,392
111,1771483001120,Tuberculosis,0.3640,496,272,640,480
112,1771483001180,Tuberculosis,0.4336,496,272,640,480
113,1771483001236,Anthracnose,0.3711,115,231,173,265
113,1771483001236,Tuberculosis,0.2743,487,276,639,480
115,1771483001356,Tuberculosis,0.2952,480,274,640,480
116,1771483001417,Anthracnose,0.4601,115,231,172,265
116,1771483001417,Tuberculosis,0.4257,483,274,639,480
117,1771483001477,Tuberculosis,0.4094,480,270,640,480
118,1771483001536,Tuberculosis,0.4716,479,271,640,480
119,1771483001597,Tuberculosis,0.3304,476,273,640,480
120,1771483001657,Tuberculosis,0.3616,477,272,640,480
122,1771483001776,Tuberculosis,0.3832,481,274,640,480
123,1771483001836,Tuberculosis,0.4987,481,271,640,480
124,1771483001896,Anthracnose,0.3060,115,231,172,264
124,1771483001896,Tuberculosis,0.3012,483,270,640,480
125,1771483001956,Anthracnose,0.3500,114,230,172,264
125,1771483001956,Tuberculosis,0.3003,485,271,640,480
126,1771483002017,Anthracnose,0.3303,114,231,172,265
126,1771483002017,Tuberculosis,0.2995,491,273,640,480
127,1771483002076,Tuberculosis,0.3349,480,272,640,480
132,1771483002372,Tuberculosis,0.2943,500,272,640,480
133,1771483002432,Tuberculosis,0.4319,475,271,640,480
134,1771483002492,Tuberculosis,0.2818,503,273,640,480
134,1771483002492,Anthracnose,0.2654,114,231,173,266
136,1771483002612,Tuberculosis,0.3599,476,269,640,480
136,1771483002612,Anthracnose,0.2527,115,231,173,265
137,1771483002672,Tuberculosis,0.3801,476,299,640,480
137,1771483002672,Anthracnose,0.3744,114,231,173,264
138,1771483002732,Tuberculosis,0.3943,482,273,639,480
138,1771483002732,Anthracnose,0.2618,115,231,174,265
139,1771483002792,Tuberculosis,0.3867,478,273,640,480
139,1771483002792,Anthracnose,0.2764,114,231,173,264
140,1771483002852,Tuberculosis,0.2730,487,272,640,480
140,1771483002852,Anthracnose,0.2593,114,231,172,265
141,1771483002912,Tuberculosis,0.3452,478,271,640,480
142,1771483002972,Tuberculosis,0.2881,497,271,640,480
144,1771483003088,Tuberculosis,0.3005,482,276,639,480
145,1771483003148,Anthracnose,0.2970,115,231,173,264
145,1771483003148,Tuberculosis,0.2808,484,276,639,480
146,1771483003208,Anthracnose,0.4019,114,231,172,265
146,1771483003208,Tuberculosis,0.3298,481,274,639,480
147,1771483003268,Tuberculosis,0.2677,478,275,640,480
148,1771483003328,Tuberculosis,0.4702,483,271,640,480
150,1771483003448,Tuberculosis,0.3355,480,272,639,480
150,1771483003448,Anthracnose,0.2562,115,231,173,265
151,1771483003509,Tuberculosis,0.4615,479,273,639,480
152,1771483003571,Tuberculosis,0.2892,479,270,640,480
154,1771483003693,Tuberculosis,0.2882,479,270,640,480
155,1771483003758,Tuberculosis,0.3982,493,273,640,480
157,1771483003868,Tuberculosis,0.2654,499,271,640,480
158,1771483003928,Tuberculosis,0.3865,491,271,640,480
160,1771483004044,Tuberculosis,0.4120,485,270,640,480
162,1771483004164,Tuberculosis,0.3961,477,272,640,480
162,1771483004164,Anthracnose,0.2570,173,92,359,389
162,1771483004164,BlackScale,0.2504,173,93,360,387
163,1771483004224,Tuberculosis,0.4028,474,270,640,480
165,1771483004344,Tuberculosis,0.3330,476,270,640,480
166,1771483004404,Tuberculosis,0.3800,477,271,640,480
168,1771483004524,Anthracnose,0.3210,115,231,171,264
170,1771483004644,Tuberculosis,0.2563,492,271,640,480
171,1771483004704,Tuberculosis,0.3379,502,271,640,480
173,1771483004824,Tuberculosis,0.3588,489,272,640,480
174,1771483004884,Tuberculosis,0.3575,495,271,639,480
175,1771483004940,BlackScale,0.2528,481,271,640,480
176,1771483005000,Tuberculosis,0.2789,483,271,640,480
177,1771483005060,Tuberculosis,0.3150,497,274,639,480
178,1771483005120,Tuberculosis,0.3574,504,270,640,480
180,1771483005240,Tuberculosis,0.4053,478,271,640,480
181,1771483005300,Anthracnose,0.2575,115,230,173,264
183,1771483005420,Tuberculosis,0.2903,484,269,640,480
185,1771483005540,Tuberculosis,0.3260,484,271,640,480
186,1771483005600,Tuberculosis,0.2634,482,270,640,480
188,1771483005720,Tuberculosis,0.2947,481,271,640,480
189,1771483005780,Tuberculosis,0.3232,478,270,640,480
191,1771483005896,Tuberculosis,0.2735,485,270,640,480
194,1771483006076,Tuberculosis,0.3441,493,273,640,480
195,1771483006136,Tuberculosis,0.3650,482,270,640,480
198,1771483006316,Tuberculosis,0.3890,487,270,640,480
199,1771483006376,Tuberculosis,0.2675,484,271,640,480
200,1771483006437,Tuberculosis,0.4012,487,269,640,480
201,1771483006498,Tuberculosis,0.2609,487,271,640,480
203,1771483006616,Tuberculosis,0.2962,485,270,640,480
205,1771483006736,Tuberculosis,0.4360,484,269,640,480
209,1771483006972,Tuberculosis,0.3516,477,272,640,480
210,1771483007032,Tuberculosis,0.3488,498,271,640,480
211,1771483007092,Tuberculosis,0.2942,492,272,640,480
212,1771483007152,Tuberculosis,0.3187,493,273,640,480
213,1771483007212,Tuberculosis,0.4075,482,277,639,480
213,1771483007212,Anthracnose,0.2587,115,231,172,265
214,1771483007272,Tuberculosis,0.3078,487,277,639,480
215,1771483007332,Anthracnose,0.3447,114,230,173,264
215,1771483007332,BlackScale,0.3035,495,274,640,480
218,1771483007512,Tuberculosis,0.4971,480,270,640,480
219,1771483007572,Anthracnose,0.3390,115,230,172,264
219,1771483007572,Tuberculosis,0.3159,494,272,640,480
220,1771483007632,Tuberculosis,0.3744,483,270,640,480
220,1771483007632,Anthracnose,0.2931,115,230,172,264
221,1771483007692,Tuberculosis,0.4084,485,272,640,480
222,1771483007748,Tuberculosis,0.3491,482,271,640,480
222,1771483007748,Anthracnose,0.3469,115,230,173,264
223,1771483007808,Tuberculosis,0.2562,484,269,640,480
224,1771483007868,Tuberculosis,0.2968,480,270,640,480
225,1771483007928,Anthracnose,0.2511,115,231,173,264
226,1771483007988,Tuberculosis,0.2883,491,274,640,480
227,1771483008048,Tuberculosis,0.5496,478,271,640,480
228,1771483008108,BlackScale,0.3398,174,87,359,428
228,1771483008108,Tuberculosis,0.3293,486,271,640,480
229,1771483008168,Tuberculosis,0.3882,482,271,640,480
230,1771483008228,Tuberculosis,0.3536,507,271,640,480
231,1771483008288,Tuberculosis,0.4392,480,272,640,480
232,1771483008348,Tuberculosis,0.3462,493,271,640,480
233,1771483008408,Tuberculosis,0.3324,487,270,640,480
236,1771483008588,Tuberculosis,0.4147,481,270,640,480
239,1771483008764,Tuberculosis,0.3182,475,271,640,480
242,1771483008944,Tuberculosis,0.2791,482,271,640,480
243,1771483009004,Tuberculosis,0.4099,490,271,640,480
244,1771483009064,Tuberculosis,0.2690,505,271,640,480
245,1771483009124,Tuberculosis,0.2602,493,271,640,480
246,1771483009184,Tuberculosis,0.2999,489,272,640,480
247,1771483009244,Tuberculosis,0.2761,496,271,640,480
248,1771483009304,Tuberculosis,0.3913,485,270,640,480
250,1771483009424,Anthracnose,0.2943,115,231,172,264
252,1771483009544,Tuberculosis,0.2983,479,272,640,480
253,1771483009600,Tuberculosis,0.3577,475,270,640,480
254,1771483009660,Tuberculosis,0.3573,479,273,640,480
255,1771483009720,Anthracnose,0.2633,115,231,172,265
257,1771483009840,Tuberculosis,0.3471,478,271,640,480
258,1771483009900,Anthracnose,0.4106,114,231,171,264
258,1771483009900,Tuberculosis,0.4066,476,271,640,480
259,1771483009960,Tuberculosis,0.4219,477,273,640,480
261,1771483010080,Tuberculosis,0.3418,475,272,640,480
262,1771483010140,Tuberculosis,0.3111,477,274,639,480
263,1771483010200,Tuberculosis,0.3923,478,271,640,480
264,1771483010260,Tuberculosis,0.4767,478,271,640,480
265,1771483010320,Tuberculosis,0.5546,478,270,640,480
266,1771483010380,Tuberculosis,0.4184,477,269,640,480
266,1771483010380,Anthracnose,0.3486,114,229,175,264
267,1771483010440,Tuberculosis,0.4384,479,270,640,480
269,1771483010556,Tuberculosis,0.3788,478,270,640,480
270,1771483010616,Tuberculosis,0.3900,476,269,640,480
271,1771483010676,Tuberculosis,0.4546,477,269,640,480
272,1771483010736,Tuberculosis,0.4464,477,276,640,480
274,1771483010856,Tuberculosis,0.4875,476,268,640,480
275,1771483010916,Tuberculosis,0.3793,483,270,640,480
276,1771483010975,Tuberculosis,0.4795,490,272,640,480
277,1771483011035,Tuberculosis,0.4166,477,286,640,480
277,1771483011035,Anthracnose,0.2512,115,231,172,265
278,1771483011096,Anthracnose,0.3305,115,231,171,265
278,1771483011096,Tuberculosis,0.2689,481,270,640,480
279,1771483011158,Tuberculosis,0.4936,478,270,640,480
280,1771483011216,Anthracnose,0.2890,115,231,171,264
281,1771483011276,Tuberculosis,0.3860,491,272,640,480
282,1771483011335,Tuberculosis,0.3884,476,271,640,480
283,1771483011396,Tuberculosis,0.3442,477,271,640,480
285,1771483011512,Tuberculosis,0.3857,480,272,640,480
286,1771483011571,Tuberculosis,0.4196,476,271,640,480
287,1771483011631,Tuberculosis,0.4540,477,269,639,480
288,1771483011691,Tuberculosis,0.4081,478,270,640,480
289,1771483011752,Tuberculosis,0.3505,480,270,639,480
291,1771483011872,Tuberculosis,0.3689,485,271,640,480
292,1771483011932,Tuberculosis,0.3334,478,274,640,480
293,1771483011992,Tuberculosis,0.2978,478,267,640,480
294,1771483012052,Tuberculosis,0.2833,476,269,640,480
295,1771483012112,Tuberculosis,0.4467,479,268,640,480
296,1771483012172,Tuberculosis,0.4291,476,269,640,480
297,1771483012231,Tuberculosis,0.4138,478,270,639,480
298,1771483012291,Tuberculosis,0.3330,483,271,640,480
299,1771483012351,Tuberculosis,0.2560,485,272,639,480
300,1771483012407,Tuberculosis,0.3555,484,269,640,480
301,1771483012467,BlackScale,0.3762,478,271,640,480
302,1771483012527,Tuberculosis,0.2713,500,275,639,480
